"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 01 16:31:04 GMT 2022","Thu Dec 01 16:31:22 GMT 2022","18498","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Thu Dec 01 16:34:08 GMT 2022","Thu Dec 01 16:34:25 GMT 2022","16744","","Casos de prueba sobre un artículo de Diario AS","","CP05. Carga de contenedor de tipo BTN en el articulo","","CP05. Carga de contenedor de tipo BTN en el articulo",""
"passed","Thu Dec 01 16:29:56 GMT 2022","Thu Dec 01 16:30:18 GMT 2022","21150","","Casos de prueba sobre la página principal de Diario AS","","CP02. Carga de contenedor de tipo STICKY en la portada","","CP02. Carga de contenedor de tipo STICKY en la portada",""
"failed","Thu Dec 01 16:29:26 GMT 2022","Thu Dec 01 16:29:56 GMT 2022","30008","","Casos de prueba sobre la página principal de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada",""
"passed","Thu Dec 01 16:32:28 GMT 2022","Thu Dec 01 16:32:55 GMT 2022","26909","","Casos de prueba sobre un artículo de Diario AS","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en el articulo","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en el articulo",""
"passed","Thu Dec 01 16:32:09 GMT 2022","Thu Dec 01 16:32:28 GMT 2022","19857","","Casos de prueba sobre un artículo de Diario AS","","CP02. Carga de contenedor de tipo STICKY en el articulo","","CP02. Carga de contenedor de tipo STICKY en el articulo",""
"passed","Thu Dec 01 16:31:22 GMT 2022","Thu Dec 01 16:31:41 GMT 2022","18302","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Thu Dec 01 16:32:55 GMT 2022","Thu Dec 01 16:33:15 GMT 2022","19759","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"passed","Thu Dec 01 16:33:42 GMT 2022","Thu Dec 01 16:34:08 GMT 2022","26153","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"failed","Thu Dec 01 16:31:41 GMT 2022","Thu Dec 01 16:32:09 GMT 2022","28029","","Casos de prueba sobre un artículo de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el articulo","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el articulo",""
"passed","Thu Dec 01 16:33:15 GMT 2022","Thu Dec 01 16:33:42 GMT 2022","26490","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"passed","Thu Dec 01 16:30:18 GMT 2022","Thu Dec 01 16:30:46 GMT 2022","27999","","Casos de prueba sobre la página principal de Diario AS","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en la portada","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en la portada",""
"passed","Thu Dec 01 16:34:25 GMT 2022","Thu Dec 01 16:34:41 GMT 2022","16945","","Casos de prueba sobre un artículo de Diario AS","","CP06. Carga de contenedor de tipo INTEXT en el articulo","","CP06. Carga de contenedor de tipo INTEXT en el articulo",""
"passed","Thu Dec 01 16:30:46 GMT 2022","Thu Dec 01 16:31:04 GMT 2022","18057","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
