"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Dec 01 16:38:29 GMT 2022","Thu Dec 01 16:38:59 GMT 2022","30155","","Casos de prueba sobre la página principal de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada",""
"passed","Thu Dec 01 16:41:12 GMT 2022","Thu Dec 01 16:41:32 GMT 2022","19995","","Casos de prueba sobre un artículo de Diario AS","","CP02. Carga de contenedor de tipo STICKY en el articulo","","CP02. Carga de contenedor de tipo STICKY en el articulo",""
"passed","Thu Dec 01 16:42:18 GMT 2022","Thu Dec 01 16:42:44 GMT 2022","25743","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"passed","Thu Dec 01 16:41:32 GMT 2022","Thu Dec 01 16:41:58 GMT 2022","26662","","Casos de prueba sobre un artículo de Diario AS","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en el articulo","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en el articulo",""
"passed","Thu Dec 01 16:41:58 GMT 2022","Thu Dec 01 16:42:18 GMT 2022","19724","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"failed","Thu Dec 01 16:40:44 GMT 2022","Thu Dec 01 16:41:12 GMT 2022","27804","","Casos de prueba sobre un artículo de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el articulo","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el articulo",""
"passed","Thu Dec 01 16:42:44 GMT 2022","Thu Dec 01 16:43:10 GMT 2022","25842","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"passed","Thu Dec 01 16:39:21 GMT 2022","Thu Dec 01 16:39:49 GMT 2022","28533","","Casos de prueba sobre la página principal de Diario AS","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en la portada","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en la portada",""
"passed","Thu Dec 01 16:40:26 GMT 2022","Thu Dec 01 16:40:44 GMT 2022","18407","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Thu Dec 01 16:43:27 GMT 2022","Thu Dec 01 16:43:44 GMT 2022","16723","","Casos de prueba sobre un artículo de Diario AS","","CP06. Carga de contenedor de tipo INTEXT en el articulo","","CP06. Carga de contenedor de tipo INTEXT en el articulo",""
"passed","Thu Dec 01 16:43:10 GMT 2022","Thu Dec 01 16:43:27 GMT 2022","17143","","Casos de prueba sobre un artículo de Diario AS","","CP05. Carga de contenedor de tipo BTN en el articulo","","CP05. Carga de contenedor de tipo BTN en el articulo",""
"passed","Thu Dec 01 16:38:59 GMT 2022","Thu Dec 01 16:39:21 GMT 2022","21613","","Casos de prueba sobre la página principal de Diario AS","","CP02. Carga de contenedor de tipo STICKY en la portada","","CP02. Carga de contenedor de tipo STICKY en la portada",""
"passed","Thu Dec 01 16:39:49 GMT 2022","Thu Dec 01 16:40:08 GMT 2022","18214","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Thu Dec 01 16:40:08 GMT 2022","Thu Dec 01 16:40:26 GMT 2022","17898","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
