"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 05 15:58:01 GMT 2022","Mon Dec 05 15:58:27 GMT 2022","26434","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"passed","Mon Dec 05 15:57:11 GMT 2022","Mon Dec 05 15:57:38 GMT 2022","27641","","Casos de prueba sobre un artículo de Diario AS","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en el articulo","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en el articulo",""
"passed","Mon Dec 05 15:54:45 GMT 2022","Mon Dec 05 15:55:20 GMT 2022","34926","","Casos de prueba sobre la página principal de Diario AS","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en la portada","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en la portada",""
"failed","Mon Dec 05 15:56:49 GMT 2022","Mon Dec 05 15:57:11 GMT 2022","21953","","Casos de prueba sobre un artículo de Diario AS","","CP02. Carga de contenedor de tipo STICKY en el articulo","","CP02. Carga de contenedor de tipo STICKY en el articulo",""
"failed","Mon Dec 05 15:54:18 GMT 2022","Mon Dec 05 15:54:45 GMT 2022","27059","","Casos de prueba sobre la página principal de Diario AS","","CP02. Carga de contenedor de tipo STICKY en la portada","","CP02. Carga de contenedor de tipo STICKY en la portada",""
"passed","Mon Dec 05 15:55:40 GMT 2022","Mon Dec 05 15:56:00 GMT 2022","19774","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"failed","Mon Dec 05 15:53:40 GMT 2022","Mon Dec 05 15:54:18 GMT 2022","37799","","Casos de prueba sobre la página principal de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada",""
"failed","Mon Dec 05 15:56:20 GMT 2022","Mon Dec 05 15:56:49 GMT 2022","28852","","Casos de prueba sobre un artículo de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el articulo","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el articulo",""
"passed","Mon Dec 05 15:59:14 GMT 2022","Mon Dec 05 15:59:32 GMT 2022","18408","","Casos de prueba sobre un artículo de Diario AS","","CP06. Carga de contenedor de tipo INTEXT en el articulo","","CP06. Carga de contenedor de tipo INTEXT en el articulo",""
"passed","Mon Dec 05 15:55:20 GMT 2022","Mon Dec 05 15:55:40 GMT 2022","20133","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Mon Dec 05 15:56:00 GMT 2022","Mon Dec 05 15:56:20 GMT 2022","19899","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Mon Dec 05 15:58:27 GMT 2022","Mon Dec 05 15:58:54 GMT 2022","26697","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"passed","Mon Dec 05 15:58:54 GMT 2022","Mon Dec 05 15:59:14 GMT 2022","19598","","Casos de prueba sobre un artículo de Diario AS","","CP05. Carga de contenedor de tipo BTN en el articulo","","CP05. Carga de contenedor de tipo BTN en el articulo",""
"passed","Mon Dec 05 15:57:38 GMT 2022","Mon Dec 05 15:58:01 GMT 2022","22576","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
