"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 02 10:09:42 GMT 2022","Fri Dec 02 10:10:09 GMT 2022","26804","","Casos de prueba sobre la página principal de Diario AS","","CP02. Carga de contenedor de tipo STICKY en la portada","","CP02. Carga de contenedor de tipo STICKY en la portada",""
"passed","Fri Dec 02 10:12:08 GMT 2022","Fri Dec 02 10:12:28 GMT 2022","19810","","Casos de prueba sobre un artículo de Diario AS","","CP02. Carga de contenedor de tipo STICKY en el articulo","","CP02. Carga de contenedor de tipo STICKY en el articulo",""
"passed","Fri Dec 02 10:12:28 GMT 2022","Fri Dec 02 10:12:55 GMT 2022","27050","","Casos de prueba sobre un artículo de Diario AS","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en el articulo","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en el articulo",""
"failed","Fri Dec 02 10:11:40 GMT 2022","Fri Dec 02 10:12:08 GMT 2022","28005","","Casos de prueba sobre un artículo de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el articulo","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el articulo",""
"passed","Fri Dec 02 10:10:43 GMT 2022","Fri Dec 02 10:11:01 GMT 2022","18318","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Fri Dec 02 10:13:40 GMT 2022","Fri Dec 02 10:14:06 GMT 2022","26282","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"passed","Fri Dec 02 10:14:06 GMT 2022","Fri Dec 02 10:14:24 GMT 2022","18082","","Casos de prueba sobre un artículo de Diario AS","","CP05. Carga de contenedor de tipo BTN en el articulo","","CP05. Carga de contenedor de tipo BTN en el articulo",""
"passed","Fri Dec 02 10:11:01 GMT 2022","Fri Dec 02 10:11:22 GMT 2022","21082","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Fri Dec 02 10:10:09 GMT 2022","Fri Dec 02 10:10:43 GMT 2022","34209","","Casos de prueba sobre la página principal de Diario AS","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en la portada","","CP03. Carga de contenedor LDB1 en caso de no tener SKIN en la portada",""
"passed","Fri Dec 02 10:14:24 GMT 2022","Fri Dec 02 10:14:42 GMT 2022","17357","","Casos de prueba sobre un artículo de Diario AS","","CP06. Carga de contenedor de tipo INTEXT en el articulo","","CP06. Carga de contenedor de tipo INTEXT en el articulo",""
"passed","Fri Dec 02 10:12:55 GMT 2022","Fri Dec 02 10:13:14 GMT 2022","19690","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"failed","Fri Dec 02 10:09:06 GMT 2022","Fri Dec 02 10:09:42 GMT 2022","35456","","Casos de prueba sobre la página principal de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada",""
"passed","Fri Dec 02 10:13:14 GMT 2022","Fri Dec 02 10:13:40 GMT 2022","25664","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el articulo","","CP04. Carga de contenedores de tipo MPU en el articulo",""
"passed","Fri Dec 02 10:11:22 GMT 2022","Fri Dec 02 10:11:40 GMT 2022","17525","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
